Wall time,Step,Value
1716656966.6394255,296960,-42.29621505737305
1716657015.7292037,297984,-44.14988327026367
1716657063.9459252,299008,-43.47922897338867
1716657111.8497355,300032,-43.86554336547852
1716657160.7683258,301056,-43.82843399047852
1716657211.610032,302080,-43.55801773071289
1716657260.4839947,303104,-43.36344528198242
1716657309.8918097,304128,-43.16481018066406
1716657358.5731432,305152,-43.80403900146485
1716657407.4432223,306176,-42.948638916015625
1716657454.1518502,307200,-43.48781204223633
1716657501.747054,308224,-42.6885871887207
1716657550.050729,309248,-42.10182571411133
1716657596.4057631,310272,-41.45138549804688
1716657644.8827012,311296,-40.57707214355469
1716657692.2234504,312320,-40.05373001098633
1716657739.6395388,313344,-39.23696517944336
1716657786.6307745,314368,-38.51016616821289
1716657836.005798,315392,-37.70075988769531
1716657883.903699,316416,-37.45140838623047
1716657932.0859854,317440,-37.35820388793945
1716657981.095848,318464,-37.40925979614258
1716658027.337902,319488,-36.62689971923828
1716658074.0248682,320512,-35.55506896972656
1716658120.522866,321536,-35.397586822509766
1716658167.1324933,322560,-34.70669937133789
1716658215.109614,323584,-34.26187515258789
1716658261.765242,324608,-33.80878448486328
1716658309.323814,325632,-33.00297927856445
1716658356.121991,326656,-32.64623260498047
1716658404.1208973,327680,-32.171852111816406
1716658453.5884476,328704,-30.384408950805664
1716658501.8823724,329728,-29.896167755126957
1716658551.6229882,330752,-29.491004943847656
1716658597.6456487,331776,-29.17733192443848
1716658643.9551508,332800,-28.716821670532227
1716658690.8626564,333824,-28.55172348022461
1716658737.95352,334848,-27.8618278503418
1716658786.322716,335872,-27.475948333740234
1716658833.9841642,336896,-26.69816017150879
1716658881.2517996,337920,-26.202442169189453
1716658927.9856265,338944,-25.65045547485352
1716658974.92582,339968,-24.34019088745117
1716659023.2160008,340992,-23.706052780151367
1716659070.3883028,342016,-22.40557861328125
1716659118.5442123,343040,-21.76725196838379
1716659166.2420623,344064,-21.25997543334961
1716659212.1652863,345088,-20.559585571289062
1716659259.6359966,346112,-19.778539657592773
1716659306.967048,347136,-19.04353141784668
1716659354.4557755,348160,-18.67568588256836
1716659401.7693183,349184,-18.132104873657227
1716659448.603968,350208,-17.591289520263672
1716659500.1564543,351232,-17.088071823120117
1716659546.958315,352256,-16.58669090270996
1716659596.8949978,353280,-15.329110145568848
1716659645.9737327,354304,-15.183242797851562
1716659694.4357302,355328,-14.628430366516112
1716659742.2131703,356352,-14.326128959655762
1716659788.7630188,357376,-14.149200439453123
1716659837.733813,358400,-13.97805404663086
1716659884.2296994,359424,-12.786490440368652
1716659931.04447,360448,-11.691144943237305
1716659977.748628,361472,-11.294346809387209
1716660024.108335,362496,-10.911428451538086
1716660071.8889508,363520,-10.63920783996582
1716660119.5794752,364544,-10.31668758392334
1716660169.3971937,365568,-10.265878677368164
